"base_!","!"
"base_\8596","\leftrightarrow"
"oz_\8596","\rel"
"unicode-math_\8596","\leftrightarrow"
"base_\8597","\updownarrow"
"unicode-math_\8597","\updownarrow"
"amssymb_\8598","\nwarrow"
"unicode-math_\8598","\nwarrow"
"base_\8599","\nearrow"
"unicode-math_\8599","\nearrow"
"base_\8600","\searrow"
"unicode-math_\8600","\searrow"
"base_\8601","\swarrow"
"unicode-math_\8601","\swarrow"
"amssymb_\8602","\nleftarrow"
"unicode-math_\8602","\nleftarrow"
"amssymb_\8603","\nrightarrow"
"unicode-math_\8603","\nrightarrow"
"unicode-math_\8604","\leftwavearrow"
"unicode-math_\8605","\rightwavearrow"
"amssymb_\8606","\twoheadleftarrow"
"unicode-math_\8606","\twoheadleftarrow"
"unicode-math_\8607","\twoheaduparrow"
"amssymb_\8608","\twoheadrightarrow"
"oz_\8608","\tsur"
"unicode-math_\8608","\twoheadrightarrow"
"unicode-math_\8609","\twoheaddownarrow"
"amssymb_\8610","\leftarrowtail"
"unicode-math_\8610","\leftarrowtail"
"amssymb_\8611","\rightarrowtail"
"oz_\8611","\tinj"
"unicode-math_\8611","\rightarrowtail"
"stmaryrd_\8612","\mapsfrom"
"kpfonts_\8612","\mappedfrom"
"unicode-math_\8612","\mapsfrom"
"wrisym_\8613","\MapsUp"
"unicode-math_\8613","\mapsup"
"base_\8614","\mapsto"
"unicode-math_\8614","\mapsto"
"wrisym_\8615","\MapsDown"
"unicode-math_\8615","\mapsdown"
"unicode-math_\8616","\updownarrowbar"
"base_\8617","\hookleftarrow"
"unicode-math_\8617","\hookleftarrow"
"base_\8618","\hookrightarrow"
"unicode-math_\8618","\hookrightarrow"
"amssymb_\8619","\looparrowleft"
"unicode-math_\8619","\looparrowleft"
"amssymb_\8620","\looparrowright"
"unicode-math_\8620","\looparrowright"
"amssymb_\8621","\leftrightsquigarrow"
"unicode-math_\8621","\leftrightsquigarrow"
"amssymb_\8622","\nleftrightarrow"
"unicode-math_\8622","\nleftrightarrow"
"stmaryrd_\8623","\lightning"
"unicode-math_\8623","\downzigzagarrow"
"amssymb_\8624","\Lsh"
"unicode-math_\8624","\Lsh"
"amssymb_\8625","\Rsh"
"unicode-math_\8625","\Rsh"
"mathabx_\8626","\dlsh"
"unicode-math_\8626","\Ldsh"
"mathabx_\8627","\drsh"
"unicode-math_\8627","\Rdsh"
"unicode-math_\8628","\linefeed"
"unicode-math_\8629","\carriagereturn"
"amssymb_\8630","\curvearrowleft"
"fourier_\8630","\curvearrowleft"
"unicode-math_\8630","\curvearrowleft"
"amssymb_\8631","\curvearrowright"
"fourier_\8631","\curvearrowright"
"unicode-math_\8631","\curvearrowright"
"unicode-math_\8632","\barovernorthwestarrow"
"unicode-math_\8633","\barleftarrowrightarrowba"
"amssymb_\8634","\circlearrowleft"
"wasysym_\8634","\leftturn"
"unicode-math_\8634","\acwopencirclearrow"
"amssymb_\8635","\circlearrowright"
"wasysym_\8635","\rightturn"
"unicode-math_\8635","\cwopencirclearrow"
"base_\8636","\leftharpoonup"
"unicode-math_\8636","\leftharpoonup"
"base_\8637","\leftharpoondown"
"unicode-math_\8637","\leftharpoondown"
"amssymb_\8638","\upharpoonright"
"amssymb_\8638","\restriction"
"unicode-math_\8638","\upharpoonright"
"amssymb_\8639","\upharpoonleft"
"wrisym_\8639","\upharpoonleftup"
"unicode-math_\8639","\upharpoonleft"
"base_\8640","\rightharpoonup"
"unicode-math_\8640","\rightharpoonup"
"base_\8641","\rightharpoondown"
"unicode-math_\8641","\rightharpoondown"
"amssymb_\8642","\downharpoonright"
"wrisym_\8642","\upharpoonrightdown"
"unicode-math_\8642","\downharpoonright"
"amssymb_\8643","\downharpoonleft"
"wrisym_\8643","\upharpoonleftdown"
"unicode-math_\8643","\downharpoonleft"
"amssymb_\8644","\rightleftarrows"
"wrisym_\8644","\rightleftarrow"
"unicode-math_\8644","\rightleftarrows"
"mathabx_\8645","\updownarrows"
"wrisym_\8645","\uparrowdownarrow"
"unicode-math_\8645","\updownarrows"
"amssymb_\8646","\leftrightarrows"
"wrisym_\8646","\leftrightarrow"
"unicode-math_\8646","\leftrightarrows"
"amssymb_\8647","\leftleftarrows"
"fourier_\8647","\leftleftarrows"
"unicode-math_\8647","\leftleftarrows"
"amssymb_\8648","\upuparrows"
"unicode-math_\8648","\upuparrows"
"amssymb_\8649","\rightrightarrows"
"fourier_\8649","\rightrightarrows"
"unicode-math_\8649","\rightrightarrows"
"amssymb_\8650","\downdownarrows"
"unicode-math_\8650","\downdownarrows"
"amssymb_\8651","\leftrightharpoons"
"wrisym_\8651","\revequilibrium"
"unicode-math_\8651","\leftrightharpoons"
"base_\8652","\rightleftharpoons"
"wrisym_\8652","\equilibrium"
"unicode-math_\8652","\rightleftharpoons"
"amssymb_\8653","\nLeftarrow"
"unicode-math_\8653","\nLeftarrow"
"amssymb_\8654","\nLeftrightarrow"
"unicode-math_\8654","\nLeftrightarrow"
"amssymb_\8655","\nRightarrow"
"unicode-math_\8655","\nRightarrow"
"base_\8656","\Leftarrow"
"unicode-math_\8656","\Leftarrow"
"base_\8657","\Uparrow"
"unicode-math_\8657","\Uparrow"
"base_\8658","\Rightarrow"
"unicode-math_\8658","\Rightarrow"
"base_\8659","\Downarrow"
"unicode-math_\8659","\Downarrow"
"base_\8660","\Leftrightarrow"
"unicode-math_\8660","\Leftrightarrow"
"base_\8661","\Updownarrow"
"unicode-math_\8661","\Updownarrow"
"txfonts_\8662","\Nwarrow"
"unicode-math_\8662","\Nwarrow"
"txfonts_\8663","\Nearrow"
"unicode-math_\8663","\Nearrow"
"txfonts_\8664","\Searrow"
"unicode-math_\8664","\Searrow"
"txfonts_\8665","\Swarrow"
"unicode-math_\8665","\Swarrow"
"amssymb_\8666","\Lleftarrow"
"unicode-math_\8666","\Lleftarrow"
"amssymb_\8667","\Rrightarrow"
"unicode-math_\8667","\Rrightarrow"
"mathabx_\8668","\leftsquigarrow"
"txfonts_\8668","\leftsquigarrow"
"unicode-math_\8668","\leftsquigarrow"
"amssymb_\8669","\rightsquigarrow"
"unicode-math_\8669","\rightsquigarrow"
"unicode-math_\8670","\nHuparrow"
"unicode-math_\8671","\nHdownarrow"
"amsfonts_\8672","\dashleftarrow"
"unicode-math_\8672","\leftdasharrow"
"unicode-math_\8673","\updasharrow"
"amsfonts_\8674","\dashrightarrow"
"amsfonts_\8674","\dasharrow"
"unicode-math_\8674","\rightdasharrow"
"unicode-math_\8675","\downdasharrow"
"wrisym_\8676","\LeftArrowBar"
"unicode-math_\8676","\barleftarrow"
"wrisym_\8677","\RightArrowBar"
"unicode-math_\8677","\rightarrowbar"
"unicode-math_\8678","\leftwhitearrow"
"unicode-math_\8679","\upwhitearrow"
"unicode-math_\8680","\rightwhitearrow"
"unicode-math_\8681","\downwhitearrow"
"unicode-math_\8682","\whitearrowupfrombar"
"unicode-math_\8692","\circleonrightarrow"
"mathabx_\8693","\downuparrows"
"wrisym_\8693","\downarrowuparrow"
"unicode-math_\8693","\downuparrows"
"unicode-math_\8694","\rightthreearrows"
"unicode-math_\8695","\nvleftarrow"
"oz_\8696","\pfun"
"unicode-math_\8696","\nvrightarrow"
"unicode-math_\8697","\nvleftrightarrow"
"unicode-math_\8698","\nVleftarrow"
"oz_\8699","\ffun"
"unicode-math_\8699","\nVrightarrow"
"unicode-math_\8700","\nVleftrightarrow"
"stmaryrd_\8701","\leftarrowtriangle"
"unicode-math_\8701","\leftarrowtriangle"
"stmaryrd_\8702","\rightarrowtriangle"
"unicode-math_\8702","\rightarrowtriangle"
"stmaryrd_\8703","\leftrightarrowtriangle"
"unicode-math_\8703","\leftrightarrowtriangle"
"base_\8704","\forall"
"unicode-math_\8704","\forall"
"amssymb_\8705","\complement"
"fourier_\8705","\complement"
"unicode-math_\8705","\complement"
"base_\8706","\partial"
"kpfonts_\8706","\partialup"
"unicode-math_\8706","\partial"
"base_\8707","\exists"
"oz_\8707","\exi"
"unicode-math_\8707","\exists"
"amssymb_\8708","\nexists"
"fourier_\8708","\nexists"
"oz_\8708","\nexi"
"unicode-math_\8708","\nexists"
"amssymb_\8709","\varnothing"
"unicode-math_\8709","\varnothing"
"base_\8710","\mathrm{\Delta}"
"unicode-math_\8710","\increment"
"base_\8711","\nabla"
"unicode-math_\8711","\nabla"
"base_\8712","\in"
"unicode-math_\8712","\in"
"base_\8713","\notin"
"wrisym_\8713","\nin"
"unicode-math_\8713","\notin"
"base_\8714","\in"
"unicode-math_\8714","\smallin"
